trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
275,False,"{'a': 0.5, 'e': 0.3150000000000105}",20,11,-41.0825832553561,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
276,False,"{'a': 0.5, 'e': 0.3125000000000105}",25,5,9.166647268456217,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.3100000000000105}",25,13,11.853992160690538,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.3075000000000105}",35,17,31.092558584140697,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.3050000000000105}",20,0,-95.55830835865672,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
280,False,"{'a': 0.5, 'e': 0.3025000000000105}",20,11,9.883812057700718,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.3000000000000105}",25,10,13.70737206600296,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.2975000000000105}",20,10,6.901946258267349,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.2950000000000105}",25,13,-0.6666719276380466,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.2925000000000105}",25,12,12.755790862533674,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.29000000000001047}",20,9,14.646745460158943,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.28750000000001047}",30,7,37.786864597591936,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.28500000000001047}",25,10,12.777790210930219,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.28250000000001046}",35,0,-61.413584314633184,"{0: 28, 1: 1, 2: 4, 3: 1, 4: 1}",0
289,False,"{'a': 0.5, 'e': 0.28000000000001046}",20,0,9.027008606971457,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
